problem,method,h,x,y,exact,numerical,absolute_error
A,SOR omega=1.6,0.125,0.375,0.25,9.375,9.374999999976577,2.3423041284331703e-11
A,SOR omega=1.6,0.125,0.5,0.25,12.5,12.500000000003382,3.382183422218077e-12
A,SOR omega=1.6,0.125,0.625,0.25,15.625,15.625000000005366,5.366374011828157e-12
A,SOR omega=1.6,0.125,0.75,0.25,18.75,18.75000000000834,8.341771717823576e-12
A,SOR omega=1.6,0.125,0.875,0.25,21.875,21.87500000000282,2.8208546609675977e-12
A,SOR omega=1.6,0.125,1.0,0.25,25.0,25.0,0.0
A,SOR omega=1.6,0.125,0.0,0.375,0.0,0.0,0.0
A,SOR omega=1.6,0.125,0.125,0.375,4.6875,4.687499999941721,5.827871518704342e-11
A,SOR omega=1.6,0.125,0.25,0.375,9.375,9.374999999976573,2.3426593998010503e-11
A,SOR omega=1.6,0.125,0.375,0.375,14.0625,14.06249999997699,2.3009150140751444e-11
A,SOR omega=1.6,0.125,0.5,0.375,18.75,18.74999999999782,2.1813661987835076e-12
A,SOR omega=1.6,0.125,0.625,0.375,23.4375,23.43749999999669,3.311129148642067e-12
A,SOR omega=1.6,0.125,0.75,0.375,28.125,28.12499999999874,1.2612133559741778e-12
A,SOR omega=1.6,0.125,0.875,0.375,32.8125,32.81249999999787,2.1316282072803006e-12
A,SOR omega=1.6,0.125,1.0,0.375,37.5,37.5,0.0
A,SOR omega=1.6,0.125,0.0,0.5,0.0,0.0,0.0
A,SOR omega=1.6,0.125,0.125,0.5,6.25,6.25000000001052,1.0519585202928283e-11
A,SOR omega=1.6,0.125,0.25,0.5,12.5,12.500000000003386,3.3857361358968774e-12
A,SOR omega=1.6,0.125,0.375,0.5,18.75,18.74999999999781,2.1884716261411086e-12
A,SOR omega=1.6,0.125,0.5,0.5,25.0,25.000000000002945,2.9451996397256153e-12
A,SOR omega=1.6,0.125,0.625,0.5,31.25,31.250000000006192,6.192379942149273e-12
A,SOR omega=1.6,0.125,0.75,0.5,37.5,37.50000000000029,2.913225216616411e-13
A,SOR omega=1.6,0.125,0.875,0.5,43.75,43.750000000003,2.9984903449076228e-12
A,SOR omega=1.6,0.125,1.0,0.5,50.0,50.0,0.0
A,SOR omega=1.6,0.125,0.0,0.625,0.0,0.0,0.0
A,SOR omega=1.6,0.125,0.125,0.625,7.8125,7.812499999999554,4.4586556668946287e-13
A,SOR omega=1.6,0.125,0.25,0.625,15.625,15.62500000000537,5.369926725506957e-12
A,SOR omega=1.6,0.125,0.375,0.625,23.4375,23.437499999996685,3.3146818623208674e-12
A,SOR omega=1.6,0.125,0.5,0.625,31.25,31.25000000000619,6.188827228470473e-12
A,SOR omega=1.6,0.125,0.625,0.625,39.0625,39.0625000000059,5.8975047068088315e-12
A,SOR omega=1.6,0.125,0.75,0.625,46.875,46.87500000000705,7.048583938740194e-12
