problem,case,method,h,k,lambda,x,t,exact,numerical,absolute_error
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.45,0.007,0.23440428778462816,0.23616779027696128,0.0017635024923331188
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.5,0.007,9.289536367490232e-17,-1.364166994882006e-16,2.293120631631029e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.55,0.007,-0.23440428778462832,-0.2361677902769616,0.0017635024923332854
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.6000000000000001,0.007,-0.44586345069019023,-0.449217831763863,0.003354381073672752
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.65,0.007,-0.6136783925288681,-0.6182953019930422,0.004616909464174035
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.7000000000000001,0.007,-0.7214222175580403,-0.726849720146462,0.005427502588421729
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.75,0.007,-0.7585482094884801,-0.7642550234321609,0.0057068139436807774
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8,0.007,-0.7214222175580403,-0.7268497201464619,0.005427502588421618
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8500000000000001,0.007,-0.6136783925288678,-0.6182953019930416,0.004616909464173813
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9,0.007,-0.44586345069019023,-0.4492178317638625,0.0033543810736722524
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9500000000000001,0.007,-0.2344042877846283,-0.23616779027696133,0.0017635024923330356
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,1.0,0.007,-1.8579072734980463e-16,0.0,1.8579072734980463e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.0,0.008,0.0,0.0,0.0
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.05,0.008,0.22533066205694818,0.22726911643931147,0.001938454382363286
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.1,0.008,0.4286043889407234,0.4322915482844984,0.003687159343775004
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.15000000000000002,0.008,0.5899233319726067,0.5949982714312748,0.005074939458668104
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.2,0.008,0.69349646903347,0.6994624181736345,0.0059659491401645726
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.25,0.008,0.729185339831317,0.7354583099839268,0.006272970152609858
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.30000000000000004,0.008,0.69349646903347,0.6994624181736345,0.0059659491401645726
